epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,1970.09,1.36334,0.59122,0.97042,0.91697,0.89308,0.93797,0.6132,1.26547,0.51915,0.99142,0.00075448,0.00075448,0.00075448
126,1986.21,1.36778,0.59512,0.97072,0.93127,0.88456,0.93845,0.61513,1.26595,0.52612,0.98824,0.0007525,0.0007525,0.0007525
127,2002,1.37026,0.59751,0.97091,0.92036,0.89013,0.93698,0.61355,1.26384,0.52291,0.99077,0.00075052,0.00075052,0.00075052
128,2017.58,1.36532,0.59413,0.97161,0.92864,0.87643,0.93633,0.61252,1.26537,0.52747,0.98669,0.00074854,0.00074854,0.00074854
129,2033.01,1.3587,0.59268,0.96778,0.93769,0.87784,0.93767,0.61579,1.26534,0.52258,0.98876,0.00074656,0.00074656,0.00074656
130,2048.91,1.37502,0.59692,0.97068,0.93521,0.8793,0.93954,0.61559,1.26309,0.52473,0.98904,0.00074458,0.00074458,0.00074458
131,2064.59,1.36489,0.59276,0.96856,0.92138,0.89318,0.93965,0.61148,1.26352,0.51809,0.98969,0.0007426,0.0007426,0.0007426
132,2080.07,1.37376,0.59294,0.97114,0.9279,0.88403,0.93991,0.61627,1.25969,0.51792,0.98899,0.00074062,0.00074062,0.00074062
133,2095.68,1.36483,0.59297,0.96991,0.9288,0.88345,0.93765,0.61516,1.25918,0.51791,0.98547,0.00073864,0.00073864,0.00073864
134,2111.15,1.35824,0.59335,0.96815,0.91967,0.8889,0.93963,0.61508,1.2615,0.5226,0.98668,0.00073666,0.00073666,0.00073666
135,2126.72,1.36888,0.59661,0.97043,0.92413,0.88286,0.93904,0.61576,1.2734,0.52059,0.993,0.00073468,0.00073468,0.00073468
136,2142.37,1.3657,0.58841,0.9693,0.92647,0.88833,0.93904,0.61752,1.27558,0.52098,0.99339,0.0007327,0.0007327,0.0007327
137,2158.27,1.36473,0.59284,0.97132,0.92642,0.89213,0.93915,0.61535,1.26964,0.5147,0.99087,0.00073072,0.00073072,0.00073072
138,2173.93,1.3592,0.59139,0.96653,0.93384,0.88303,0.94028,0.61585,1.26691,0.51213,0.98826,0.00072874,0.00072874,0.00072874
139,2189.7,1.35672,0.58975,0.96691,0.93208,0.8816,0.93966,0.61755,1.26619,0.51217,0.98852,0.00072676,0.00072676,0.00072676
140,2205.52,1.36066,0.5892,0.96835,0.93001,0.88372,0.93799,0.61334,1.2744,0.51781,0.99514,0.00072478,0.00072478,0.00072478
141,2221.61,1.35283,0.58856,0.97,0.92079,0.89136,0.93879,0.61663,1.27072,0.5164,0.99179,0.0007228,0.0007228,0.0007228
142,2237.51,1.37389,0.59328,0.9661,0.92485,0.88894,0.9383,0.61534,1.26893,0.51392,0.99017,0.00072082,0.00072082,0.00072082
143,2253.05,1.36318,0.59062,0.96455,0.92699,0.88814,0.93785,0.61554,1.2661,0.51205,0.98815,0.00071884,0.00071884,0.00071884
144,2268.71,1.36249,0.58846,0.96582,0.93143,0.88307,0.93999,0.61572,1.26297,0.51307,0.98725,0.00071686,0.00071686,0.00071686
